WKT,id,nombre,direccion,materiales,mas_info,dia_hora,tipo,cooperativ,calle,altura,calle2,barrio,comuna
"POINT (-58.5270033320232 -34.6508022298601)",PV-043,PLAZA SARGENTO CABRAL,"SUAREZ, JOSE LEON y MARTINEZ DE HOZ",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recolectores del Oeste,"SUAREZ, JOSE LEON",,MARTINEZ DE HOZ,LINIERS,COMUNA 9
"POINT (-58.514436674949 -34.6641861743926)",PV-048,CARREFOUR MATADEROS,"PAZ, GRAL. AV. 12950",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recolectores del Oeste,"PAZ, GRAL. AV.","12950",,MATADEROS,COMUNA 9
"POINT (-58.5232160762846 -34.6455144714921)",PV-046,PLAZA SARMIENTO,COSQUIN y HUMAITA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Provisión de Servicios para Recolectores del Oeste,COSQUIN,,HUMAITA,LINIERS,COMUNA 9
"POINT (-58.525955181126 -34.6162734997507)",PV-053,PLAZA TOSCANERAS DE VILLA REAL,"LISTA, RAMON CNEL. y MOLIERE",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástic",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,"LISTA, RAMON CNEL.",,MOLIERE,VILLA REAL,COMUNA 10
"POINT (-58.5216041263903 -34.6332772855447)",PV-045,CARREFOUR J B JUSTO,ALVAREZ JONTE AV. y PARÍS,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,ÁLVAREZ JONTE AV.,,PARÍS,VERSALLES,COMUNA 10
"POINT (-58.4979137333228 -34.6179397953308)",PV-051,PLAZA MONTE CASTRO,GUALEGUAYCHU y MIRANDA,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,GUALEGUAYCHU,,MIRANDA,MONTE CASTRO,COMUNA 10
"POINT (-58.5072584903667 -34.6180598778281)",PV-052,PLAZA MONSEÑOR FERMIN LAFITTE,ALLENDE y ARREGUI,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Sin Atención,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,ALLENDE,,ARREGUI,MONTE CASTRO,COMUNA 10
"POINT (-58.5226967561923 -34.6127119499015)",PV-059,PLAZA EL MAESTRO,"BEIRO, FRANCISCO AV. y CALDERON DE LA BARCA, PEDRO",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,"BEIRO, FRANCISCO AV.",,"CALDERON DE LA BARCA, PEDRO",VILLA DEVOTO,COMUNA 11
"POINT (-58.4814150166106 -34.5707764570502)",PV-069,PLAZA MARCOS SASTRE,MONROE y MILLER,RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,MONROE,,MILLER,VILLA URQUIZA,COMUNA 12
"POINT (-58.4579019051663 -34.5773144558939)",PV-078,PLAZA SAN MIGUEL DE CORICOITIS,"LORETO, VIRREY y DELGADO",RAEES / Aceite vegetal usado (en botellas cerradas) / Pilas/ Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Para entregar los materiales, éstos deben estar limpios y secos - Aceite vegetal usado (frío y en envase cerrado de plástico)",Martes a Sábado de 11 a 17 hs.,Punto Verde Con Atención,Cooperativa de Trabajo Amanecer de los Cartoneros,"LORETO, VIRREY",,DELGADO,COLEGIALES,COMUNA 13
